Rank,NOC,Gold,Silver,Bronze,Total
1,China,11,7,6,24
2,United States,9,15,13,37
3,France*,8,11,8,27
4,Australia,8,6,4,18
5,Japan,8,3,5,16
6,Great Britain,6,7,7,20
7,South Korea,6,3,3,12
8,Italy,5,7,4,16
9,Canada,3,2,3,8
10,Germany,2,2,2,6
10,Netherlands,2,2,2,6
12,New Zealand,2,2,1,5
13,Romania,2,1,1,4
14,Hong Kong,2,0,2,4
15,Azerbaijan,2,0,0,2
16,Hungary,1,2,1,4
17,Georgia,1,2,0,3
18,South Africa,1,1,2,4
18,Sweden,1,1,2,4
20,Belgium,1,0,2,3
20,Ireland,1,0,2,3
20,Kazakhstan,1,0,2,3
23,Croatia,1,0,1,2
23,Guatemala,1,0,1,2
23,Uzbekistan,1,0,1,2
26,Argentina,1,0,0,1
26,Ecuador,1,0,0,1
26,Serbia,1,0,0,1
26,Slovenia,1,0,0,1
30,Brazil,0,3,3,6
31,North Korea,0,2,0,2
32,Spain,0,1,3,4
33,Poland,0,1,2,3
33,Switzerland,0,1,2,3
35,Greece,0,1,1,2
35,Israel,0,1,1,2
35,Kosovo,0,1,1,2
35,Mexico,0,1,1,2
35,Turkey,0,1,1,2
35,Ukraine,0,1,1,2
41,Fiji,0,1,0,1
41,Mongolia,0,1,0,1
41,Tunisia,0,1,0,1
44,India,0,0,3,3
45,Moldova,0,0,2,2
46,Austria,0,0,1,1
46,Egypt,0,0,1,1
46,Portugal,0,0,1,1
46,Slovakia,0,0,1,1
46,Tajikistan,0,0,1,1
Totals (50 entries),Totals (50 entries),90,91,101,282
