Rank,NOC,Gold,Silver,Bronze,Total
1,China,39,27,24,90
2,United States,38,42,42,122
3,Australia,18,18,14,50
4,Japan,18,12,13,43
5,France*,16,24,22,62
6,Great Britain,14,22,27,63
7,South Korea,13,8,9,30
8,Netherlands,13,7,12,32
9,Germany,12,11,8,31
10,Italy,11,13,15,39
11,Canada,9,7,11,27
12,New Zealand,9,7,2,18
13,Uzbekistan,8,2,3,13
14,Hungary,5,7,6,18
15,Spain,5,4,8,17
16,Sweden,4,4,3,11
17,Kenya,4,2,4,10
18,Norway,4,1,3,8
19,Ireland,4,0,3,7
20,Brazil,3,7,10,20
21,Ukraine,3,5,4,12
22,Iran,3,5,2,10
23,Romania,3,4,1,8
24,Georgia,3,2,1,6
25,Belgium,3,1,6,10
26,Bulgaria,3,1,3,7
27,Czech Republic,3,0,2,5
28,Azerbaijan,2,2,2,6
29,Cuba,2,1,5,8
30,Croatia,2,1,3,6
31,Serbia,2,1,1,4
32,Slovenia,2,1,0,3
33,Chinese Taipei,2,0,5,7
34,Austria,2,0,3,5
35,Hong Kong,2,0,2,4
35,Philippines,2,0,2,4
37,Algeria,2,0,1,3
37,Indonesia,2,0,1,3
39,Israel,1,5,1,7
40,Poland,1,3,5,9
41,Kazakhstan,1,3,3,7
42,Jamaica,1,3,2,6
42,South Africa,1,3,2,6
42,Thailand,1,3,2,6
–,Individual Neutral Athletes[A],1,3,1,5
45,Denmark,1,2,5,8
45,Switzerland,1,2,5,8
47,Ecuador,1,2,2,5
48,Portugal,1,2,1,4
49,Ethiopia,1,2,0,3
50,Greece,1,1,6,8
51,Argentina,1,1,1,3
51,Bahrain,1,1,1,3
51,Egypt,1,1,1,3
51,Tunisia,1,1,1,3
55,Botswana,1,1,0,2
55,Chile,1,1,0,2
55,Saint Lucia,1,1,0,2
55,Uganda,1,1,0,2
59,Dominican Republic,1,0,2,3
60,Guatemala,1,0,1,2
60,Morocco,1,0,1,2
62,Dominica,1,0,0,1
62,Pakistan,1,0,0,1
64,Turkey,0,3,5,8
65,Mexico,0,3,2,5
66,Armenia,0,3,1,4
67,Colombia,0,3,0,3
68,Kyrgyzstan,0,2,4,6
68,North Korea,0,2,4,6
70,Lithuania,0,2,2,4
71,India,0,1,5,6
72,Moldova,0,1,3,4
73,Kosovo,0,1,1,2
74,Cyprus,0,1,0,1
74,Fiji,0,1,0,1
74,Jordan,0,1,0,1
74,Mongolia,0,1,0,1
74,Panama,0,1,0,1
79,Tajikistan,0,0,3,3
80,Grenada,0,0,2,2
80,Malaysia,0,0,2,2
82,Albania,0,0,1,1
82,Cape Verde,0,0,1,1
82,Ivory Coast,0,0,1,1
82,Peru,0,0,1,1
82,Puerto Rico,0,0,1,1
82,Qatar,0,0,1,1
82,Refugee Olympic Team,0,0,1,1
82,Singapore,0,0,1,1
82,Slovakia,0,0,1,1
82,Zambia,0,0,1,1
Totals (91 entries),Totals (91 entries),316,317,370,1003
