Rank,NOC,Gold,Silver,Bronze,Total
1,China,13,8,9,30
2,France*,11,12,13,36
3,Australia,11,6,5,22
4,United States,9,18,16,43
5,Great Britain,9,10,8,27
6,Japan,8,4,6,18
7,South Korea,7,5,4,16
8,Italy,5,8,4,17
9,Netherlands,4,3,2,9
10,Canada,3,2,6,11
11,Germany,2,3,2,7
12,New Zealand,2,3,1,6
12,Romania,2,3,1,6
14,Hungary,2,2,1,5
15,Hong Kong,2,0,2,4
15,Ireland,2,0,2,4
17,Croatia,2,0,1,3
18,Azerbaijan,2,0,0,2
19,Brazil,1,3,3,7
20,Sweden,1,2,2,5
21,Georgia,1,2,0,3
22,Switzerland,1,1,4,6
23,Spain,1,1,3,5
24,South Africa,1,1,2,4
–,Individual Neutral Athletes[A],1,1,0,2
25,Belgium,1,0,2,3
25,Kazakhstan,1,0,2,3
25,Uzbekistan,1,0,2,3
28,Guatemala,1,0,1,2
29,Argentina,1,0,0,1
29,Ecuador,1,0,0,1
29,Serbia,1,0,0,1
29,Slovenia,1,0,0,1
29,Uganda,1,0,0,1
34,Israel,0,2,1,3
34,Mexico,0,2,1,3
36,North Korea,0,2,0,2
37,Greece,0,1,3,4
37,Poland,0,1,3,4
39,Kosovo,0,1,1,2
39,Turkey,0,1,1,2
39,Ukraine,0,1,1,2
42,Ethiopia,0,1,0,1
42,Fiji,0,1,0,1
42,Mongolia,0,1,0,1
42,Tunisia,0,1,0,1
46,India,0,0,3,3
47,Moldova,0,0,2,2
47,Tajikistan,0,0,2,2
49,Austria,0,0,1,1
49,Czech Republic,0,0,1,1
49,Egypt,0,0,1,1
49,Portugal,0,0,1,1
49,Slovakia,0,0,1,1
Totals (53 entries),Totals (53 entries),112,113,127,352
