Rank,NOC,Gold,Silver,Bronze,Total
1,China,12,7,7,26
2,United States,9,16,14,39
3,France*,8,11,9,28
4,Great Britain,8,8,8,24
5,Australia,8,6,5,19
6,Japan,8,3,5,16
7,South Korea,6,3,3,12
8,Italy,5,8,4,17
9,Netherlands,4,2,2,8
10,Canada,3,2,4,9
11,New Zealand,2,3,1,6
11,Romania,2,3,1,6
13,Germany,2,2,2,6
14,Hong Kong,2,0,2,4
14,Ireland,2,0,2,4
16,Croatia,2,0,1,3
17,Azerbaijan,2,0,0,2
18,Sweden,1,2,2,5
19,Hungary,1,2,1,4
20,Georgia,1,2,0,3
21,Spain,1,1,3,5
21,Switzerland,1,1,3,5
23,South Africa,1,1,2,4
24,Belgium,1,0,2,3
24,Kazakhstan,1,0,2,3
26,Guatemala,1,0,1,2
26,Uzbekistan,1,0,1,2
28,Argentina,1,0,0,1
28,Ecuador,1,0,0,1
28,Serbia,1,0,0,1
28,Slovenia,1,0,0,1
32,Brazil,0,3,3,6
33,Mexico,0,2,1,3
34,North Korea,0,2,0,2
35,Greece,0,1,3,4
36,Poland,0,1,2,3
37,Israel,0,1,1,2
37,Kosovo,0,1,1,2
37,Turkey,0,1,1,2
37,Ukraine,0,1,1,2
41,Fiji,0,1,0,1
41,Mongolia,0,1,0,1
41,Tunisia,0,1,0,1
–,Individual Neutral Athletes,0,1,0,1
44,India,0,0,3,3
45,Moldova,0,0,2,2
46,Austria,0,0,1,1
46,Egypt,0,0,1,1
46,Portugal,0,0,1,1
46,Slovakia,0,0,1,1
46,Tajikistan,0,0,1,1
Totals (50 entries),Totals (50 entries),99,100,110,309
